par_state,par_county,kid_race,par_pctile,shrunk_xkid_stubalance2020,county_name
1,47,Hispanic,50,7787,Dallas
1,47,White,25,5953,Dallas
1,47,Hispanic,-9,7787,Dallas
1,47,White,50,7748,Dallas
1,47,Black,50,24260,Dallas
1,47,White,-9,8060.173913043478,Dallas
1,47,Hispanic,75,8045,Dallas
1,47,Pooled,75,14303.98395721925,Dallas
1,47,Black,75,29780,Dallas
1,47,Hispanic,25,7529,Dallas
1,47,Pooled,-9,15305.49032258064,Dallas
1,47,Pooled,25,15738.01154734411,Dallas
1,49,White,25,5343,DeKalb
1,49,Asian,50,11338.5,DeKalb
1,49,Asian,75,12680,DeKalb
1,49,Pooled,50,7439.627911227715,DeKalb
1,49,White,75,8968,DeKalb
1,49,Asian,-9,11338.5,DeKalb
1,49,AIAN,50,11334,DeKalb
1,49,AIAN,-9,11334,DeKalb
1,49,Pooled,25,5403.80376766091,DeKalb
1,49,Hispanic,75,12820,DeKalb
1,49,Black,50,14070,DeKalb
1,49,Black,75,14780,DeKalb
1,49,White,50,7155.5,DeKalb
1,49,Asian,25,9997,DeKalb
1,49,White,-9,6643.271739130435,DeKalb
1,49,AIAN,75,17300,DeKalb
1,49,AIAN,25,5368,DeKalb
1,49,Hispanic,-9,5913.911764705882,DeKalb
1,49,Pooled,75,9475.452054794521,DeKalb
1,49,Hispanic,25,2611,DeKalb
1,49,Pooled,-9,6886.989021956088,DeKalb
1,49,Black,-9,14070,DeKalb
1,49,Black,25,13360,DeKalb
1,49,Hispanic,50,7715.5,DeKalb
1,51,White,25,6396,Elmore
1,51,Pooled,75,10495.13725490196,Elmore
1,51,Hispanic,25,11030,Elmore
1,51,Pooled,-9,9868.783191230206,Elmore
1,51,White,50,8057,Elmore
1,51,Black,25,15320,Elmore
1,51,AIAN,25,8614,Elmore
1,51,Asian,75,22290,Elmore
1,51,Asian,25,17430,Elmore
1,51,Black,-9,16097.27272727273,Elmore
1,51,Pooled,50,9908.778433608335,Elmore
1,51,AIAN,-9,8647,Elmore
1,51,White,-9,8212.71875,Elmore
1,51,White,75,9718,Elmore
1,51,Asian,-9,19860,Elmore
1,51,Hispanic,-9,12645,Elmore
1,51,Asian,50,19860,Elmore
1,51,AIAN,75,8680,Elmore
1,51,Black,50,18470,Elmore
1,51,Hispanic,75,14260,Elmore
1,51,Black,75,21620,Elmore
1,51,AIAN,50,8647,Elmore
1,51,Hispanic,50,12645,Elmore
1,51,Pooled,25,9322.419612314709,Elmore
1,53,AIAN,75,10790,Escambia
1,53,Pooled,25,9169.0623853211,Escambia
1,53,Hispanic,-9,6988,Escambia
1,53,Asian,75,20410,Escambia
1,53,AIAN,-9,6314.5,Escambia
1,53,Pooled,75,8722.545454545454,Escambia
1,53,White,75,7137,Escambia
1,53,AIAN,50,6314.5,Escambia
1,53,AIAN,25,1839,Escambia
1,53,Black,75,20760,Escambia
1,53,White,-9,6353.442307692308,Escambia
1,53,Hispanic,75,10200,Escambia
1,53,Black,50,17295,Escambia
1,53,White,25,5732,Escambia
1,53,Pooled,50,8945.803919933278,Escambia
1,53,Hispanic,25,3776,Escambia
1,53,White,50,6434.5,Escambia
1,53,Pooled,-9,9019.315853658536,Escambia
1,53,Asian,25,13400,Escambia
1,53,Asian,-9,16905,Escambia
1,53,Black,25,13830,Escambia
1,53,Asian,50,16905,Escambia
1,53,Hispanic,50,6988,Escambia
1,53,Black,-9,14384.4,Escambia
1,55,Black,-9,16301.33971291866,Etowah
1,55,Hispanic,75,16140,Etowah
1,55,White,25,5887,Etowah
1,55,Black,25,14760,Etowah
1,55,White,75,10140,Etowah
1,55,Asian,-9,15820,Etowah
1,55,Asian,25,16980,Etowah
1,55,Pooled,50,9712.52894657612,Etowah
1,55,Pooled,75,11427.85935884178,Etowah
1,55,Pooled,-9,9341.383711507293,Etowah
1,55,AIAN,-9,17832.5,Etowah
1,55,Hispanic,50,11639.5,Etowah
1,55,AIAN,75,25960,Etowah
1,55,AIAN,50,17832.5,Etowah
1,55,Hispanic,-9,10218.28947368421,Etowah
1,55,Black,75,23020,Etowah
1,55,Pooled,25,7997.19853431046,Etowah
1,55,Black,50,18890,Etowah
1,55,AIAN,25,9705,Etowah
1,55,Asian,50,15820,Etowah
1,55,White,50,8013.5,Etowah
1,55,Asian,75,14660,Etowah
1,55,White,-9,7734.262626262626,Etowah
1,55,Hispanic,25,7139,Etowah
1,57,Hispanic,50,5226.5,Fayette
1,57,Black,75,19280,Fayette
1,57,Pooled,50,6316.64532428356,Fayette
1,57,Black,25,13070,Fayette
1,57,Hispanic,75,6294,Fayette
1,57,Pooled,-9,6142.317365269461,Fayette
1,57,Pooled,75,7103.476923076923,Fayette
1,57,Black,50,16175,Fayette
1,57,Pooled,25,5529.813725490196,Fayette
1,57,Hispanic,-9,5226.5,Fayette
1,57,White,25,4015,Fayette
1,57,Hispanic,25,4159,Fayette
1,57,White,75,5585,Fayette
1,57,White,50,4800,Fayette
